,0,1,2,3
555348,0.296,0.283,0.285,0.251
555651,0.307,0.313,0.236,0.255
555954,0.281,0.341,0.308,0.342
557857,0.324,0.277,0.274,0.249
558657,0.265,0.295,0.303,0.372
558960,0.262,0.296,0.403,0.303
559457,0.369,0.357,0.489,0.314
561444,0.294,0.375,0.286,0.259
561949,0.318,0.326,0.241,0.258
562345,0.259,0.263,0.271,0.272
562446,0.264,0.256,0.297,0.279
565452,0.487,0.483,0.331,0.363
566454,0.321,0.292,0.268,0.279
567052,0.333,0.300,0.468,0.356
567759,0.270,0.298,0.312,0.323
567961,0.322,0.362,0.234,0.256
568963,0.279,0.265,0.232,0.347
571144,0.251,0.232,0.239,0.228
572045,0.283,0.331,0.254,0.252
573249,0.323,0.362,0.211,0.241
573451,0.251,0.289,0.270,0.294
576255,0.426,0.429,0.355,0.442
578057,0.293,0.283,0.290,0.300
579867,0.269,0.243,0.297,0.255
580044,0.245,0.277,0.251,0.320
580347,0.253,0.315,0.248,0.217
580650,0.287,0.339,0.242,0.245
580751,0.324,0.327,0.286,0.234
581450,0.293,0.236,0.294,0.297
583858,0.305,0.374,0.260,0.256
585256,0.401,0.327,0.269,0.265
587664,0.294,0.246,0.271,0.325
588565,0.304,0.251,0.245,0.278
589567,0.237,0.245,0.257,0.313
590047,0.316,0.349,0.332,0.388
592455,0.389,0.339,0.324,0.317
594156,0.302,0.348,0.297,0.292
597869,0.264,0.211,0.252,0.269
599065,0.269,0.291,0.244,0.249
599469,0.359,0.314,0.338,0.257
599671,0.266,0.265,0.316,0.241
601127,0.251,0.238,0.314,0.243
604537,0.223,0.207,0.291,0.341
609143,0.319,0.383,0.385,0.361
611938,0.219,0.202,0.292,0.217
613538,0.254,0.320,0.276,0.218
614439,0.237,0.308,0.252,0.292
615441,0.237,0.236,0.228,0.264
615744,0.233,0.343,0.273,0.258
616645,0.270,0.286,0.245,0.264
617748,0.290,0.303,0.360,0.320
618952,0.271,0.289,0.260,0.262
620434,0.278,0.321,0.255,0.280
622236,0.318,0.371,0.280,0.257
623844,0.240,0.269,0.293,0.289
626648,0.351,0.371,0.297,0.324
627852,0.279,0.379,0.296,0.297
628248,0.343,0.309,0.307,0.270
633847,0.268,0.298,0.271,0.293
634748,0.245,0.266,0.238,0.241
635245,0.234,0.269,0.293,0.275
645450,0.237,0.206,0.261,0.225
647858,0.267,0.264,0.274,0.248
654350,0.336,0.288,0.220,0.268
654552,0.298,0.335,0.323,0.356
656253,0.295,0.329,0.281,0.295
656657,0.328,0.282,0.218,0.278
657659,0.285,0.320,0.236,0.250
660951,0.340,0.342,0.368,0.327
662551,0.217,0.252,0.250,0.322
663755,0.328,0.281,0.268,0.294
664757,0.221,0.246,0.204,0.226
667056,0.241,0.240,0.327,0.367
668361,0.325,0.381,0.295,0.315
671855,0.301,0.287,0.261,0.298
673455,0.354,0.307,0.331,0.397
675661,0.325,0.306,0.315,0.354
677766,0.266,0.270,0.311,0.296
679568,0.276,0.294,0.267,0.313
679770,0.286,0.296,0.306,0.260
680250,0.310,0.351,0.345,0.348
680452,0.351,0.301,0.327,0.316
683256,0.314,0.330,0.371,0.336
686969,0.298,0.246,0.319,0.314
687163,0.261,0.313,0.278,0.282
690152,0.284,0.261,0.300,0.303
692964,0.262,0.267,0.238,0.266
693764,0.237,0.272,0.279,0.349
694362,0.310,0.325,0.300,0.352
695768,0.248,0.290,0.297,0.244
698168,0.300,0.387,0.251,0.271
700634,0.391,0.261,0.239,0.255
706040,0.328,0.318,0.287,0.338
707749,0.344,0.309,0.287,0.271
709551,0.281,0.377,0.325,0.316
715041,0.301,0.387,0.334,0.345
715950,0.280,0.388,0.333,0.303
720337,0.276,0.250,0.207,0.273
723141,0.306,0.315,0.347,0.352
724446,0.218,0.252,0.261,0.262
725751,0.370,0.390,0.370,0.328
727553,0.260,0.298,0.276,0.269
727654,0.311,0.342,0.316,0.392
728454,0.238,0.286,0.253,0.246
729254,0.384,0.289,0.394,0.255
731140,0.247,0.232,0.243,0.274
735148,0.364,0.298,0.253,0.358
737960,0.396,0.323,0.401,0.407
742549,0.256,0.223,0.274,0.234
744553,0.383,0.262,0.299,0.293
748662,0.592,0.375,0.477,0.389
749058,0.254,0.253,0.263,0.242
753150,0.280,0.259,0.290,0.294
757764,0.283,0.307,0.243,0.395
759869,0.289,0.317,0.261,0.336
760551,0.310,0.438,0.363,0.325
763557,0.309,0.259,0.250,0.247
765864,0.270,0.268,0.267,0.256
767464,0.279,0.286,0.269,0.255
769064,0.259,0.241,0.207,0.252
770352,0.292,0.316,0.241,0.269
771354,0.324,0.258,0.267,0.349
773257,0.242,0.279,0.278,0.243
774663,0.217,0.275,0.268,0.268
779370,0.284,0.278,0.285,0.274
782561,0.285,0.316,0.308,0.325
783462,0.249,0.261,0.258,0.276
784565,0.314,0.351,0.278,0.280
788674,0.381,0.366,0.411,0.376
789373,0.231,0.291,0.259,0.265
792766,0.368,0.375,0.377,0.369
792867,0.321,0.301,0.272,0.258
793465,0.260,0.237,0.210,0.240
800941,0.252,0.209,0.260,0.230
802844,0.402,0.378,0.325,0.311
803240,0.265,0.258,0.288,0.234
804646,0.224,0.223,0.338,0.378
809252,0.287,0.261,0.306,0.286
810843,0.328,0.264,0.232,0.256
812746,0.274,0.240,0.204,0.207
814548,0.396,0.326,0.298,0.295
814649,0.343,0.375,0.284,0.302
815247,0.310,0.265,0.292,0.273
816653,0.283,0.293,0.303,0.268
818455,0.293,0.352,0.319,0.351
818859,0.293,0.274,0.266,0.278
820745,0.294,0.290,0.266,0.250
825048,0.312,0.335,0.256,0.277
825553,0.272,0.253,0.316,0.353
825654,0.341,0.305,0.341,0.310
826454,0.256,0.237,0.276,0.258
827052,0.314,0.379,0.333,0.344
